Time,Benz,Type,mean,sem,lower,upper
2022-02-04T00:23:54Z,1e-9,Background,6.333333333333333,1.763834207376394,4.5694991259569395,8.097167540709727
2022-02-04T00:23:54Z,1e-9,Total,8.333333333333334,2.6034165586355518,5.729916774697783,10.936749891968885
2022-02-04T00:23:54Z,1e-9,Specific,2.000000000000001,3.1446603773522015,-1.1446603773522006,5.144660377352203
2022-02-04T00:23:54Z,3.0000000000000004e-9,Background,13.333333333333334,3.38296385503074,9.950369478302594,16.716297188364074
2022-02-04T00:23:54Z,3.0000000000000004e-9,Total,15.333333333333334,2.185812841434,13.147520491899334,17.519146174767336
2022-02-04T00:23:54Z,3.0000000000000004e-9,Specific,2,4.027681991198191,-2.0276819911981914,6.027681991198191
2022-02-04T00:23:54Z,1e-8,Background,20.333333333333332,3.1797973380564857,17.153535995276847,23.513130671389817
2022-02-04T00:23:54Z,1e-8,Total,18.666666666666668,2.8480012484391772,15.818665418227491,21.514667915105846
2022-02-04T00:23:54Z,1e-8,Specific,-1.6666666666666643,4.268749491621899,-5.935416158288564,2.602082824955235
2022-02-04T00:23:54Z,3.0000000000000004e-8,Background,51.333333333333336,4.409585518440984,46.92374781489235,55.74291885177432
2022-02-04T00:23:54Z,3.0000000000000004e-8,Total,50.666666666666664,2.9059326290271157,47.76073403763955,53.57259929569378
2022-02-04T00:23:54Z,3.0000000000000004e-8,Specific,-0.6666666666666714,5.280993172584953,-5.9476598392516244,4.614326505918282
2022-02-04T00:23:54Z,1.0000000000000001e-7,Background,125.66666666666667,0.6666666666666666,125,126.33333333333334
2022-02-04T00:23:54Z,1.0000000000000001e-7,Total,135.66666666666666,0.3333333333333333,135.33333333333331,136
2022-02-04T00:23:54Z,1.0000000000000001e-7,Specific,9.999999999999986,0.7453559924999299,9.254644007500056,10.745355992499915
2022-02-04T00:23:54Z,3.0000000000000004e-7,Background,301.3333333333333,12.991450179936718,288.3418831533966,314.32478351327
2022-02-04T00:23:54Z,3.0000000000000004e-7,Total,431.6666666666667,13.34582747944507,418.3208391872216,445.01249414611175
2022-02-04T00:23:54Z,3.0000000000000004e-7,Specific,130.33333333333337,18.624953392931992,111.70837994040139,148.95828672626536
2022-02-04T00:23:54Z,1e-6,Background,1023,8,1015,1031
2022-02-04T00:23:54Z,1e-6,Total,1240.6666666666667,39.84274644705664,1200.82392021961,1280.5094131137234
2022-02-04T00:23:54Z,1e-6,Specific,217.66666666666674,40.63796801569247,177.02869865097426,258.3046346823592
2022-02-04T02:31:14Z,1e-9,Background,24.333333333333332,16.343534229508354,7.9897991038249785,40.676867562841686
2022-02-04T02:31:14Z,1e-9,Total,7.666666666666667,0.6666666666666666,7,8.333333333333334
2022-02-04T02:31:14Z,1e-9,Specific,-16.666666666666664,16.35712552851373,-33.02379219518039,-0.3095411381529338
2022-02-04T02:31:14Z,3.0000000000000004e-9,Background,10,2,8,12
2022-02-04T02:31:14Z,3.0000000000000004e-9,Total,11,1.7320508075688774,9.267949192431123,12.732050807568877
2022-02-04T02:31:14Z,3.0000000000000004e-9,Specific,1,2.6457513110645907,-1.6457513110645907,3.6457513110645907
2022-02-04T02:31:14Z,1e-8,Background,17.333333333333332,3.9299420408505323,13.4033912924828,21.263275374183863
2022-02-04T02:31:14Z,1e-8,Total,25.666666666666668,1.2018504251546631,24.464816241512004,26.86851709182133
2022-02-04T02:31:14Z,1e-8,Specific,8.333333333333336,4.109609335312651,4.223723998020684,12.442942668645987
2022-02-04T02:31:14Z,3.0000000000000004e-8,Background,50.666666666666664,2.0275875100994067,48.639079156567256,52.69425417676607
2022-02-04T02:31:14Z,3.0000000000000004e-8,Total,67.66666666666667,4.702245326555294,62.96442134011138,72.36891199322197
2022-02-04T02:31:14Z,3.0000000000000004e-8,Specific,17.000000000000007,5.120763831912406,11.879236168087601,22.120763831912413
2022-02-04T02:31:14Z,1.0000000000000001e-7,Background,151,16.165807537309522,134.83419246269048,167.16580753730952
2022-02-04T02:31:14Z,1.0000000000000001e-7,Total,187.33333333333334,6.173419725817378,181.15991360751596,193.50675305915072
2022-02-04T02:31:14Z,1.0000000000000001e-7,Specific,36.33333333333334,17.30446313655655,19.028870196776793,53.63779646988989
2022-02-04T02:31:14Z,3.0000000000000004e-7,Background,430.3333333333333,15.070206073943089,415.2631272593902,445.4035394072764
2022-02-04T02:31:14Z,3.0000000000000004e-7,Total,513.6666666666666,41.288954670441555,472.37771199622506,554.9556213371081
2022-02-04T02:31:14Z,3.0000000000000004e-7,Specific,83.33333333333331,43.9532580008455,39.38007533248781,127.28659133417881
2022-02-04T02:31:14Z,1e-6,Background,1396.6666666666667,26.16825897490656,1370.4984076917601,1422.8349256415734
2022-02-04T02:31:14Z,1e-6,Total,1645,50.816663933530045,1594.18333606647,1695.81666393353
2022-02-04T02:31:14Z,1e-6,Specific,248.33333333333326,57.15864861165903,191.17468472167423,305.4919819449923
2022-02-04T04:46:26Z,1e-9,Background,6.333333333333333,0.881917103688197,5.451416229645136,7.21525043702153
2022-02-04T04:46:26Z,1e-9,Total,8,2.0816659994661326,5.918334000533868,10.081665999466132
2022-02-04T04:46:26Z,1e-9,Specific,1.666666666666667,2.2607766610417563,-0.5941099943750894,3.9274433277084233
2022-02-04T04:46:26Z,3.0000000000000004e-9,Background,8.333333333333334,0.881917103688197,7.451416229645137,9.215250437021531
2022-02-04T04:46:26Z,3.0000000000000004e-9,Total,14.333333333333334,2.0275875100994067,12.305745823233927,16.36092084343274
2022-02-04T04:46:26Z,3.0000000000000004e-9,Specific,6,2.211083193570267,3.788916806429733,8.211083193570268
2022-02-04T04:46:26Z,1e-8,Background,20.666666666666668,2.6034165586355518,18.063250108031117,23.27008322530222
2022-02-04T04:46:26Z,1e-8,Total,26.666666666666668,2.4037008503093262,24.26296581635734,29.070367516975995
2022-02-04T04:46:26Z,1e-8,Specific,6,3.5433819375782165,2.4566180624217835,9.543381937578216
2022-02-04T04:46:26Z,3.0000000000000004e-8,Background,48.666666666666664,4.333333333333334,44.33333333333333,53
2022-02-04T04:46:26Z,3.0000000000000004e-8,Total,58.666666666666664,1.8559214542766742,56.81074521238999,60.52258812094334
2022-02-04T04:46:26Z,3.0000000000000004e-8,Specific,10,4.714045207910317,5.285954792089683,14.714045207910317
2022-02-04T04:46:26Z,1.0000000000000001e-7,Background,147.66666666666666,4.255715111601235,143.41095155506542,151.9223817782679
2022-02-04T04:46:26Z,1.0000000000000001e-7,Total,167,8.544003745317532,158.45599625468247,175.54400374531753
2022-02-04T04:46:26Z,1.0000000000000001e-7,Specific,19.333333333333343,9.545214042184236,9.788119291149107,28.878547375517577
2022-02-04T04:46:26Z,3.0000000000000004e-7,Background,444,3.7859388972001824,440.2140611027998,447.7859388972002
2022-02-04T04:46:26Z,3.0000000000000004e-7,Total,527.3333333333334,3.333333333333334,524,530.6666666666667
2022-02-04T04:46:26Z,3.0000000000000004e-7,Specific,83.33333333333337,5.04424865014052,78.28908468319285,88.37758198347389
2022-02-04T04:46:26Z,1e-6,Background,1449,40.85747585611883,1408.1425241438812,1489.8574758561188
2022-02-04T04:46:26Z,1e-6,Total,1722.6666666666667,35.26250763125681,1687.40415903541,1757.9291742979235
2022-02-04T04:46:26Z,1e-6,Specific,273.66666666666674,53.97015636236176,219.69651030430498,327.6368230290285
2022-02-04T05:30:32Z,1e-9,Background,6.333333333333333,0.6666666666666666,5.666666666666666,7
2022-02-04T05:30:32Z,1e-9,Total,7.333333333333333,2.3333333333333335,5,9.666666666666666
2022-02-04T05:30:32Z,1e-9,Specific,1,2.42670329642684,-1.4267032964268398,3.42670329642684
